264000000	0	0	0
263999999	1	0	0
263999999	2	0	0
263999998	2	0	0
263999997	2	1	0
263999996	3	1	0
263999995	4	1	0
263999994	5	2	0
263999992	6	2	0
263999990	8	3	0
263999987	10	4	0
263999983	12	5	0
263999979	15	6	0
263999973	19	8	0
263999966	24	10	0
263999957	30	13	0
263999946	38	16	0
263999932	48	21	0
263999915	60	26	0
263999893	75	33	0
263999865	94	41	0
263999830	118	52	0
263999786	149	65	0
263999731	187	82	0
263999663	234	103	0
263999577	293	129	0
263999471	367	161	1
263999338	459	202	1
263999166	578	254	4
263998951	727	320	5
263998681	913	402	5
263998343	1147	505	5
263997920	1440	634	7
263997392	1805	795	19
263996732	2262	996	25
263995910	2831	1247	32
263994885	3541	1559	38
263993561	4457	1963	48
263991901	5606	2469	49
263989821	7045	3103	55
263987215	8849	3898	58
263983953	11106	4892	78
263979877	13927	6135	87
263974790	17448	7686	102
263968446	21838	9621	114
263960540	27309	12031	122
